sample,world,spkdep,spkadapt,onehot,xvector,pvector,speaker_name
ffr0001_stimulis_0002,100,20,20,20,20,20,ffr0001
ffr0009_stimulis_0003,0,20,20,20,20,20,ffr0009
mfr0008_stimulis_0005,100,10,10,10,10,10,mfr0008
mfr0015_stimulis_0004,60,40,40,40,30,20,mfr0015
mfr0002_stimulis_0004,75,30,20,30,30,60,mfr0002
mfr0013_stimulis_0001,60,10,20,30,20,23,mfr0013
ffr0011_stimulis_0003,100,30,40,0,40,20,ffr0011
ffr0011_stimulis_0002,70,40,30,50,60,40,ffr0011
ffr0012_stimulis_0004,75,40,0,30,40,40,ffr0012
mfr0008_stimulis_0003,80,0,50,60,40,40,mfr0008
mfr0015_stimulis_0002,70,40,40,55,59,40,mfr0015
mfr0014_stimulis_0003,85,0,30,50,60,45,mfr0014
